,model_name,loss,r^2,mse,mae,true_values,pred_values,train_r^2,train_mse,train_mae,train_true_values,train_pred_values
83,162_N[C@@H]1CC[C@H]1CF_N[C@@H]1CCC1,0.7187507152557373,,0.719,0.848,[9.319999694824219],[8.472208023071289],0.933,0.412,0.483,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[3.9779372215270996, 4.1091532707214355, 4.1091532707214355, 3.6873960494995117, 6.523177623748779, 7.314824104309082, 7.326159477233887, 7.908570289611816, 7.072235584259033, 8.430695533752441, 8.225579261779785, 9.140828132629395, 7.017952919006348, 8.188819885253906, 9.123944282531738, 9.602635383605957, 9.590571403503418, 9.403962135314941, 9.486420631408691, 10.360880851745605, 10.280159950256348, 9.920785903930664, 9.872599601745605, 3.7910680770874023, 3.651284694671631, 4.163763523101807, 4.233619689941406, 4.172460079193115, 3.8930468559265137, 4.356735706329346]"
84,163_N[C@@H]1C[C@H]1C(F)(F)F_N[C@@H]1CC1,0.5272689461708069,,0.527,0.726,[7.179999828338623],[7.906132698059082],0.936,0.392,0.473,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[3.9918158054351807, 4.126749515533447, 4.126749515533447, 3.683352470397949, 6.542170524597168, 7.3292083740234375, 7.338283061981201, 8.00007438659668, 7.116596698760986, 8.423830032348633, 8.190669059753418, 9.180134773254395, 7.060159683227539, 8.3375244140625, 9.169862747192383, 9.657156944274902, 9.645370483398438, 9.449735641479492, 9.545135498046875, 10.361610412597656, 10.24741268157959, 9.973132133483887, 9.920000076293945, 3.8071255683898926, 3.6576335430145264, 4.179075241088867, 4.257951736450195, 4.191628932952881, 3.914376735687256, 4.370926856994629]"
85,164_N[C@H]1C[C@H]1C(F)(F)F_N[C@@H]1CC1,1.05354905128479,,1.054,1.026,[6.920000076293945],[7.946425437927246],0.935,0.395,0.474,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[3.990185260772705, 4.128542900085449, 4.128542900085449, 3.6865878105163574, 6.530184268951416, 7.323886394500732, 7.333308696746826, 8.016990661621094, 7.092637062072754, 8.444500923156738, 8.150226593017578, 9.196335792541504, 7.027283191680908, 8.354507446289062, 9.156561851501465, 9.648324966430664, 9.63714599609375, 9.436887741088867, 9.56238842010498, 10.3605375289917, 10.249330520629883, 9.97095012664795, 9.915203094482422, 3.805436372756958, 3.657658576965332, 4.1814727783203125, 4.261057376861572, 4.193594932556152, 3.9072327613830566, 4.376030445098877]"
86,165_N[C@@H]1C[C@H]1C(F)F_N[C@@H]1CC1,0.0370243564248085,,0.037,0.192,[7.760000228881836],[7.952417373657227],0.937,0.389,0.467,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[3.984607219696045, 4.129079818725586, 4.129079818725586, 3.6818830966949463, 6.492210388183594, 7.301233768463135, 7.312704086303711, 7.941489219665527, 7.166906833648682, 8.367348670959473, 8.163931846618652, 9.143794059753418, 7.003655433654785, 8.261516571044922, 9.13653564453125, 9.61231517791748, 9.600834846496582, 9.392864227294922, 9.531357765197754, 10.33584213256836, 10.24690055847168, 9.96213436126709, 9.9030122756958, 3.8135080337524414, 3.6540400981903076, 4.220394134521484, 4.264110565185547, 4.235473155975342, 3.945988178253174, 4.294727802276611]"
87,166_N[C@H]1C[C@H]1C(F)F_N[C@@H]1CC1,0.7280445694923401,,0.728,0.853,[7.159999847412109],[8.01325511932373],0.937,0.386,0.465,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[3.9763576984405518, 4.126005172729492, 4.126005172729492, 3.66774582862854, 6.481064796447754, 7.29627799987793, 7.306323051452637, 7.948732376098633, 7.154294013977051, 8.398408889770508, 8.157172203063965, 9.146925926208496, 7.002147674560547, 8.32390022277832, 9.179655075073242, 9.600249290466309, 9.5892333984375, 9.383127212524414, 9.586185455322266, 10.395622253417969, 10.226712226867676, 9.983562469482422, 9.926111221313477, 3.8068182468414307, 3.6454672813415527, 4.216219425201416, 4.257752418518066, 4.234970569610596, 3.943903684616089, 4.290665626525879]"
88,167_C[C@@H]1C[C@H]1N_C[C@@H]1C[C@H]1N,0.12813585996627808,,0.128,0.358,[9.4399995803833],[9.082038879394531],0.928,0.44,0.497,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[3.990375518798828, 4.099952220916748, 4.099952220916748, 3.7245800495147705, 6.600787162780762, 7.424161434173584, 7.435005187988281, 8.058148384094238, 7.233528137207031, 8.432822227478027, 8.205423355102539, 9.159257888793945, 6.94063663482666, 8.250194549560547, 9.083996772766113, 9.55949592590332, 9.551777839660645, 9.386041641235352, 9.491079330444336, 10.333651542663574, 10.261961936950684, 9.897364616394043, 9.838502883911133, 3.8422603607177734, 3.7222776412963867, 4.189996242523193, 4.210415840148926, 4.203080654144287, 3.938666820526123, 4.249091625213623]"
89,171_NC1CC12CC2_NC1CC12CC2,1.1131584644317627,,1.113,1.055,[9.40999984741211],[8.354936599731445],0.934,0.402,0.473,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[3.998059034347534, 4.12346887588501, 4.12346887588501, 3.709568738937378, 6.514878273010254, 7.345897674560547, 7.357047080993652, 7.814001083374023, 7.056821346282959, 8.389618873596191, 8.142049789428711, 9.099554061889648, 6.982284069061279, 8.278863906860352, 9.100202560424805, 9.627610206604004, 9.614496231079102, 9.3988676071167, 9.527931213378906, 10.385089874267578, 10.257278442382812, 9.958780288696289, 9.902206420898438, 3.8071303367614746, 3.665438175201416, 4.181136131286621, 4.253839492797852, 4.189159870147705, 3.900346517562866, 4.373331069946289]"
90,0_O=C(O)C1CCC(F)(F)CC1_O=C(O)C1CCCCC1,0.08936170488595963,-0.273,0.089,0.238,"[4.320000171661377, 4.849999904632568]","[4.377720832824707, 4.431201934814453]",0.956,0.269,0.402,"[4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.158716678619385, 4.158716678619385, 3.5089759826660156, 6.489842414855957, 6.987463474273682, 6.99255895614624, 7.772416114807129, 7.059190273284912, 8.14179515838623, 7.9390339851379395, 9.033724784851074, 7.336933612823486, 8.262429237365723, 9.2084321975708, 9.762786865234375, 9.747978210449219, 9.50442886352539, 9.696529388427734, 10.450766563415527, 10.24410343170166, 10.249683380126953, 10.203047752380371, 3.674098014831543, 3.4979119300842285, 4.2528510093688965, 4.313013076782227, 4.277398109436035, 3.947514057159424, 4.501089096069336]"
91,1_O=C(O)C1CCCCC1_O=C(O)C1CCCCC1,0.2574760913848877,,0.257,0.507,[4.849999904632568],[4.342578887939453],0.946,0.331,0.434,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[3.9757778644561768, 4.147491931915283, 4.147491931915283, 3.6351406574249268, 6.545377254486084, 7.23615026473999, 7.243496894836426, 7.903618812561035, 7.1058220863342285, 8.190988540649414, 8.004575729370117, 9.04203987121582, 7.143011093139648, 8.228347778320312, 9.180716514587402, 9.705175399780273, 9.697267532348633, 9.496688842773438, 9.683451652526855, 10.497292518615723, 10.242403984069824, 10.170687675476074, 10.126188278198242, 3.751835346221924, 3.570518970489502, 4.183454990386963, 4.255739688873291, 4.214883327484131, 3.9288790225982666, 4.448439598083496]"
92,2_O=C(O)[C@H]1C[C@@H]2C[C@@H]2C1_O=C(O)[C@H]1C[C@@H]2C[C@@H]2C1,0.0016420017927885056,,0.002,0.041,[4.349999904632568],[4.309478282928467],0.986,0.083,0.227,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[3.969189167022705, 4.3547868728637695, 4.3547868728637695, 3.389249324798584, 6.2569756507873535, 6.430124759674072, 6.446438789367676, 7.4433746337890625, 7.388651371002197, 7.746179103851318, 7.766139030456543, 8.71159553527832, 7.9341630935668945, 8.448673248291016, 9.318113327026367, 9.68960952758789, 9.638242721557617, 9.504781723022461, 9.956619262695312, 10.15146255493164, 10.238693237304688, 10.88096809387207, 10.856382369995117, 3.6100852489471436, 3.25941801071167, 4.258687973022461, 4.297436714172363, 4.4040093421936035, 4.179512977600098, 4.610795497894287]"
93,4_O=C(O)[C@H]1C[C@@H]2[C@H](C1)C2(F)F_O=C(O)[C@@H]1C[C@@H]2C[C@@H]2C1,0.09701221436262131,-1.004,0.097,0.262,"[3.799999952316284, 4.239999771118164]","[4.230643272399902, 4.332578182220459]",0.972,0.17,0.33,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.022250652313232, 4.266130447387695, 4.266130447387695, 3.4669899940490723, 6.308844089508057, 6.864877223968506, 6.879343032836914, 7.875665664672852, 7.2074198722839355, 7.965264797210693, 7.853255748748779, 8.897974014282227, 7.695429801940918, 8.26303482055664, 9.289361953735352, 9.749475479125977, 9.725765228271484, 9.554892539978027, 9.90528392791748, 10.30238151550293, 10.275867462158203, 10.62212085723877, 10.594233512878418, 3.644683361053467, 3.4143333435058594, 4.296353340148926, 4.394923210144043, 3.99851655960083, 4.522670269012451]"
94,5_O=C(O)[C@@H]1C[C@@H]2[C@H](C1)C2(F)F_O=C(O)[C@H]1C[C@@H]2C[C@@H]2C1,0.12438808381557465,-0.429,0.124,0.255,"[4.349999904632568, 3.759999990463257]","[4.362196445465088, 4.258625507354736]",0.965,0.211,0.366,"[4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.214141368865967, 4.214141368865967, 3.427818775177002, 6.446269512176514, 6.8208909034729, 6.823676586151123, 7.74564266204834, 7.1337056159973145, 8.135589599609375, 7.871626853942871, 8.955154418945312, 7.485045909881592, 8.284966468811035, 9.258718490600586, 9.739869117736816, 9.725774765014648, 9.517748832702637, 9.68553352355957, 10.456181526184082, 10.262537002563477, 10.421063423156738, 10.379141807556152, 3.633880138397217, 3.4246928691864014, 4.28680944442749, 4.3561930656433105, 4.333319187164307, 3.993666648864746, 4.546588897705078]"
95,6_O=C(O)C1CCC1_O=C(O)C1CCC1,0.03918472304940224,,0.039,0.198,[4.5],[4.302048683166504],0.936,0.392,0.47,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[3.9834022521972656, 4.121573448181152, 4.121573448181152, 3.6728858947753906, 6.5221381187438965, 7.295866012573242, 7.303497791290283, 7.920717239379883, 7.052877902984619, 8.42955493927002, 8.152083396911621, 9.099418640136719, 6.992535591125488, 8.271547317504883, 9.155675888061523, 9.65371322631836, 9.643211364746094, 9.438437461853027, 9.558664321899414, 10.436186790466309, 10.264741897583008, 10.015791893005371, 9.96055793762207, 3.782358169555664, 3.634383201599121, 4.161494255065918, 4.243241786956787, 4.1822967529296875, 3.8935365676879883, 4.382956504821777]"
96,7_O=C(O)C1(CF)CCC1_O=C(O)C1CCC1,0.018652431666851044,0.894,0.019,0.137,"[4.5, 3.6600000858306885]","[4.64034366607666, 3.7926971912384033]",0.99,0.063,0.2,"[4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.372997760772705, 4.372997760772705, 3.353097915649414, 6.308924674987793, 6.172398567199707, 6.179882526397705, 7.496474742889404, 7.49842643737793, 7.815752983093262, 7.725906848907471, 8.676200866699219, 8.061586380004883, 8.564613342285156, 9.319737434387207, 9.687297821044922, 9.639238357543945, 9.531888008117676, 9.960447311401367, 10.13200855255127, 10.403454780578613, 10.967028617858887, 10.946879386901855, 3.6565678119659424, 3.2685155868530273, 4.299349308013916, 4.309486389160156, 4.409068584442139, 4.227189540863037, 4.68651008605957]"
97,8_O=C(O)C1(C(F)F)CCC1_O=C(O)C1CCC1,0.2236582487821579,0.556,0.224,0.396,"[4.5, 3.0799999237060547]","[4.636566162109375, 3.7347259521484375]",0.987,0.078,0.233,"[4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.386478424072266, 4.386478424072266, 3.399409294128418, 6.271118640899658, 6.536197185516357, 6.551509857177734, 7.680569171905518, 7.367649555206299, 7.91282844543457, 7.77372407913208, 8.735921859741211, 7.966817378997803, 8.534605979919434, 9.310773849487305, 9.692047119140625, 9.648723602294922, 9.482784271240234, 9.968792915344238, 10.06389045715332, 10.351875305175781, 10.9157133102417, 10.886747360229492, 3.591118335723877, 3.357090473175049, 4.266426086425781, 4.316643714904785, 4.424365043640137, 4.105618000030518, 4.685595512390137]"
98,9_O=C(O)C1(C(F)(F)F)CCC1_O=C(O)C1CCC1,0.12716181576251984,0.801,0.127,0.338,"[4.5, 2.9000000953674316]","[4.72369909286499, 3.351976156234741]",0.995,0.028,0.141,"[4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.566389560699463, 4.566389560699463, 3.414851188659668, 6.284614562988281, 6.22089147567749, 6.253172397613525, 7.541595458984375, 7.4986186027526855, 7.792145729064941, 7.686948776245117, 8.69658088684082, 8.293865203857422, 8.672114372253418, 9.332775115966797, 9.64411449432373, 9.578390121459961, 9.523598670959473, 9.977280616760254, 9.905077934265137, 10.438076972961426, 11.070037841796875, 11.04380989074707, 3.7358713150024414, 3.4231343269348145, 4.219753742218018, 4.285980701446533, 4.456442356109619, 4.368649005889893, 4.6817097663879395]"
99,10_O=C(O)[C@H]1C[C@H](C(F)(F)F)C1_O=C(O)C1CCC1,0.10236335545778275,0.088,0.102,0.254,"[4.5, 3.8299999237060547]","[4.5594916343688965, 4.278539180755615]",0.975,0.153,0.312,"[4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.276368141174316, 4.276368141174316, 3.4421823024749756, 6.331010341644287, 6.819516658782959, 6.828821659088135, 7.861630439758301, 7.230441570281982, 7.9321746826171875, 7.825172424316406, 8.87623405456543, 7.748924255371094, 8.29362678527832, 9.310298919677734, 9.731335639953613, 9.702417373657227, 9.509462356567383, 9.820465087890625, 10.229743957519531, 10.279291152954102, 10.673080444335938, 10.637247085571289, 3.595926523208618, 3.3879239559173584, 4.255185604095459, 4.335693359375, 4.357586860656738, 3.9443845748901367, 4.606522083282471]"
100,11_O=C(O)[C@H]1C[C@@H](C(F)(F)F)C1_O=C(O)C1CCC1,0.07902048528194427,0.178,0.079,0.238,"[4.5, 3.880000114440918]","[4.587960243225098, 4.267690658569336]",0.975,0.152,0.308,"[4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.27190637588501, 4.27190637588501, 3.4251255989074707, 6.290642738342285, 6.843259811401367, 6.85608434677124, 7.824592590332031, 7.252679347991943, 7.96047306060791, 7.828813552856445, 8.86627197265625, 7.777163028717041, 8.271737098693848, 9.318008422851562, 9.733196258544922, 9.706671714782715, 9.515861511230469, 9.851728439331055, 10.273180961608887, 10.289495468139648, 10.692419052124023, 10.655900001525879, 3.6175436973571777, 3.3630990982055664, 4.285593509674072, 4.327199935913086, 4.392425537109375, 3.9856982231140137, 4.5284342765808105]"
101,12_O=C(O)[C@H]1C[C@H](C(F)F)C1_O=C(O)C1CCC1,0.013165847398340702,0.654,0.013,0.11,"[4.5, 4.110000133514404]","[4.5786824226379395, 4.251918315887451]",0.981,0.117,0.268,"[4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.295079231262207, 4.295079231262207, 3.3943209648132324, 6.274180889129639, 6.670560836791992, 6.678618907928467, 7.672365665435791, 7.274397850036621, 7.868349075317383, 7.776269912719727, 8.79047966003418, 7.790554046630859, 8.330278396606445, 9.308100700378418, 9.6897611618042, 9.655658721923828, 9.504594802856445, 9.904556274414062, 10.184904098510742, 10.306656837463379, 10.811812400817871, 10.784741401672363, 3.6018922328948975, 3.3456857204437256, 4.27014684677124, 4.299827575683594, 4.40017032623291, 4.020702362060547, 4.552242755889893]"
102,13_O=C(O)[C@H]1C[C@@H](C(F)F)C1_O=C(O)C1CCC1,0.06648090481758118,0.21,0.066,0.196,"[4.5, 3.9200000762939453]","[4.529337406158447, 4.283457279205322]",0.972,0.17,0.324,"[4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.241002082824707, 4.241002082824707, 3.481320381164551, 6.307843208312988, 6.87636137008667, 6.887379169464111, 7.879380226135254, 7.216342926025391, 8.039386749267578, 7.8511433601379395, 8.933309555053711, 7.704619884490967, 8.277698516845703, 9.303644180297852, 9.764819145202637, 9.744366645812988, 9.585007667541504, 9.864373207092285, 10.308342933654785, 10.293965339660645, 10.63196849822998, 10.599563598632812, 3.657827854156494, 3.4388089179992676, 4.277133941650391, 4.323887348175049, 4.376794338226318, 3.9662835597991943, 4.506826400756836]"
103,14_O=C(O)[C@H]1C[C@H](CF)C1_O=C(O)C1CCC1,0.013032074086368084,0.491,0.013,0.114,"[4.5, 4.179999828338623]","[4.618138790130615, 4.290033340454102]",0.982,0.108,0.261,"[4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.316254138946533, 4.316254138946533, 3.3279435634613037, 6.274665355682373, 6.532863140106201, 6.536202907562256, 7.499874591827393, 7.323546409606934, 7.820563793182373, 7.745121002197266, 8.745320320129395, 7.849972724914551, 8.417791366577148, 9.344660758972168, 9.706978797912598, 9.682316780090332, 9.48333740234375, 9.93361759185791, 10.313899993896484, 10.196467399597168, 10.773829460144043, 10.74283504486084, 3.6191647052764893, 3.2542855739593506, 4.289219856262207, 4.322771072387695, 4.397586345672607, 4.130189418792725, 4.567562103271484]"
