,params,cv_0_loss,cv_0_best_epoch,cv_0_run_name,cv_0_r^2,cv_0_mse,cv_0_mae,cv_0_train_r^2,cv_0_train_mse,cv_0_train_mae,cv_1_loss,cv_1_best_epoch,cv_1_run_name,cv_1_r^2,cv_1_mse,cv_1_mae,cv_1_train_r^2,cv_1_train_mse,cv_1_train_mae
76,"{'lr': 0.000205886426846289, 'train_type': 'predictor_and_readout', 'weight_decay': 0.003460907996587538}",0.10220873355865479,23,abc,0.659,0.102,0.245,0.798,0.068,0.203,0.1045699268579483,52,abc,0.689,0.105,0.244,0.854,0.044,0.157
77,"{'lr': 0.010170228107403858, 'train_type': 'all_layers', 'weight_decay': 0.06324086997934955}",0.1137482076883316,1999,abc,0.62,0.114,0.262,0.85,0.05,0.169,0.30638545751571655,13,abc,0.088,0.306,0.459,-10.416,3.419,1.784
78,"{'lr': 0.004677527871054087, 'train_type': 'only_predictor', 'weight_decay': 0.0007355371805430263}",0.07318297773599625,992,abc,0.756,0.073,0.206,0.957,0.014,0.086,0.09262438863515854,518,abc,0.724,0.093,0.201,0.946,0.016,0.09
79,"{'lr': 0.00023985463553160899, 'train_type': 'all_layers', 'weight_decay': 0.2825349333171838}",0.08459348231554031,229,abc,0.718,0.085,0.237,0.874,0.042,0.158,0.09171337634325027,39,abc,0.727,0.092,0.23,0.836,0.049,0.171
80,"{'lr': 0.001170200252000234, 'train_type': 'only_predictor', 'weight_decay': 0.0019146338083936769}",0.07552454620599747,100,abc,0.748,0.076,0.217,0.911,0.03,0.124,0.08439350128173828,27,abc,0.749,0.084,0.215,0.801,0.06,0.196
81,"{'lr': 0.023744370554547662, 'train_type': 'only_predictor', 'weight_decay': 0.00043958896137583656}",0.2526357173919678,170,abc,0.156,0.253,0.423,0.138,0.29,0.434,0.41706448793411255,6,abc,-0.241,0.417,0.515,-11.26,3.671,1.799
82,"{'lr': 0.005301150922085199, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0044977609621127705}",0.0735611617565155,117,abc,0.754,0.074,0.214,0.889,0.037,0.136,0.08398789912462234,58,abc,0.75,0.084,0.21,0.842,0.047,0.168
83,"{'lr': 0.015071736787810952, 'train_type': 'only_predictor', 'weight_decay': 0.09329711289854528}",0.13500232994556427,761,abc,0.549,0.135,0.297,0.612,0.13,0.277,0.20870576798915863,275,abc,0.379,0.209,0.334,0.488,0.153,0.308
84,"{'lr': 0.004863477243436734, 'train_type': 'only_predictor', 'weight_decay': 4.741118213242523e-05}",0.07089356333017349,77,abc,0.763,0.071,0.211,0.893,0.036,0.138,0.17043282091617584,3,abc,0.493,0.17,0.314,0.406,0.178,0.333
85,"{'lr': 0.007747199320292941, 'train_type': 'only_predictor', 'weight_decay': 0.3650198493350949}",0.17829489707946777,360,abc,0.405,0.178,0.331,0.388,0.206,0.348,0.24260355532169342,204,abc,0.278,0.243,0.369,0.391,0.182,0.335
86,"{'lr': 0.02663204848442723, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0021857085139136852}",0.21897605061531067,20,abc,0.269,0.219,0.372,-0.323,0.445,0.531,0.291530966758728,26,abc,0.132,0.292,0.43,0.076,0.277,0.429
87,"{'lr': 0.00022455837920828597, 'train_type': 'predictor_and_readout', 'weight_decay': 0.10475166047796647}",0.0833626314997673,81,abc,0.722,0.083,0.231,0.79,0.071,0.206,0.08873656392097473,39,abc,0.736,0.089,0.229,0.74,0.078,0.225
88,"{'lr': 0.006080952934586766, 'train_type': 'all_layers', 'weight_decay': 0.013169573487007829}",0.09136490523815155,58,abc,0.695,0.091,0.25,0.774,0.076,0.216,0.0905720517039299,51,abc,0.73,0.091,0.22,0.766,0.07,0.208
89,"{'lr': 0.0016407619388388427, 'train_type': 'all_layers', 'weight_decay': 0.0002529802852912663}",0.06796100735664368,151,abc,0.773,0.068,0.191,0.939,0.02,0.098,0.0872231274843216,25,abc,0.74,0.087,0.217,0.782,0.065,0.201
90,"{'lr': 0.0001364767463148438, 'train_type': 'only_predictor', 'weight_decay': 0.001793547845797988}",0.07412169873714447,134,abc,0.752,0.074,0.215,0.898,0.034,0.135,0.08618640899658203,55,abc,0.743,0.086,0.215,0.809,0.057,0.196
91,"{'lr': 0.005650592974714196, 'train_type': 'all_layers', 'weight_decay': 0.0003581078627519609}",0.12711560726165771,9,abc,0.576,0.127,0.295,0.467,0.179,0.338,0.25457167625427246,10,abc,0.242,0.255,0.393,0.301,0.209,0.379
92,"{'lr': 0.0008955140872138376, 'train_type': 'all_layers', 'weight_decay': 0.0009498073534037499}",0.07103870809078217,91,abc,0.763,0.071,0.202,0.916,0.028,0.126,0.08322493731975555,36,abc,0.752,0.083,0.216,0.844,0.047,0.174
93,"{'lr': 0.016195293706153784, 'train_type': 'predictor_and_readout', 'weight_decay': 0.08666829110108347}",0.13481281697750092,464,abc,0.55,0.135,0.297,0.614,0.13,0.276,0.18846966326236725,336,abc,0.439,0.188,0.314,0.552,0.134,0.286
94,"{'lr': 0.0035820711478748023, 'train_type': 'all_layers', 'weight_decay': 0.004655414549269205}",0.07605931907892227,155,abc,0.746,0.076,0.217,0.895,0.035,0.138,0.07834337651729584,38,abc,0.767,0.078,0.209,0.847,0.046,0.171
95,"{'lr': 0.0017568035693264555, 'train_type': 'all_layers', 'weight_decay': 0.011107818102162265}",0.07643846422433853,52,abc,0.745,0.076,0.222,0.861,0.047,0.167,0.08166006952524185,39,abc,0.757,0.082,0.211,0.848,0.045,0.17
96,"{'lr': 0.0007897647598430731, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0005048696237433284}",0.06896641850471497,98,abc,0.77,0.069,0.202,0.918,0.028,0.119,0.08329781889915466,27,abc,0.752,0.083,0.215,0.8,0.06,0.198
97,"{'lr': 0.0009754086095235509, 'train_type': 'all_layers', 'weight_decay': 0.002840297446548777}",0.0786018818616867,56,abc,0.738,0.079,0.226,0.874,0.042,0.154,0.08330530673265457,30,abc,0.752,0.083,0.213,0.813,0.056,0.194
98,"{'lr': 0.001020733575135279, 'train_type': 'all_layers', 'weight_decay': 0.008190639416942244}",0.07979443669319153,87,abc,0.734,0.08,0.229,0.865,0.045,0.161,0.08192373812198639,44,abc,0.756,0.082,0.212,0.856,0.043,0.168
99,"{'lr': 0.0012153005195903888, 'train_type': 'predictor_and_readout', 'weight_decay': 0.312217629091437}",0.10322104394435883,7,abc,0.655,0.103,0.253,0.668,0.112,0.258,0.11965708434581757,4,abc,0.644,0.12,0.265,0.511,0.146,0.316
100,"{'lr': 0.008345237576836322, 'train_type': 'all_layers', 'weight_decay': 0.11275862491835555}",1.137827754020691,1,abc,-2.8,1.138,0.883,-57911.079,19457.508,138.683,1.2512019872665405,3,abc,-2.724,1.251,0.888,-16.108,5.123,2.062
101,"{'lr': 0.0033634638704603754, 'train_type': 'all_layers', 'weight_decay': 0.02766236744733478}",0.24994590878486633,34,abc,0.165,0.25,0.419,-3.294,1.443,1.08,0.31129205226898193,36,abc,0.073,0.311,0.445,-0.598,0.479,0.578
102,"{'lr': 0.0009844591548715765, 'train_type': 'all_layers', 'weight_decay': 0.0012330838853904951}",0.17591805756092072,86,abc,0.413,0.176,0.343,0.262,0.248,0.383,0.2548931837081909,93,abc,0.241,0.255,0.387,0.404,0.178,0.345
103,"{'lr': 0.003509332128756197, 'train_type': 'all_layers', 'weight_decay': 0.00282658652172292}",0.4888339638710022,4,abc,-0.632,0.489,0.579,-572.24,192.599,13.777,0.7372699975967407,4,abc,-1.194,0.737,0.658,-683.895,205.091,14.219
104,"{'lr': 0.006462743084673084, 'train_type': 'predictor_and_readout', 'weight_decay': 0.00176713234055288}",0.14991411566734314,304,abc,0.499,0.15,0.305,0.658,0.115,0.272,0.5032023191452026,145,abc,-0.498,0.503,0.562,-1.051,0.614,0.65
105,"{'lr': 0.031246506630965593, 'train_type': 'all_layers', 'weight_decay': 0.011025815183391432}",3.1487772464752197,3,abc,-9.515,3.149,1.513,-24111.252,8101.321,89.458,0.2954348921775818,74,abc,0.121,0.295,0.435,-2.86,1.156,0.971
106,"{'lr': 0.04014416692389328, 'train_type': 'predictor_and_readout', 'weight_decay': 0.30529402303138786}",0.27220964431762695,49,abc,0.091,0.272,0.41,-68.477,23.343,4.775,20.05585289001465,5,abc,-58.693,20.056,3.427,-41856.272,12534.095,111.257
107,"{'lr': 0.01691996625459957, 'train_type': 'only_predictor', 'weight_decay': 0.0022058876616533}",0.31428009271621704,439,abc,-0.05,0.314,0.456,0.197,0.27,0.411,1.9877718687057495,7,abc,-4.916,1.988,1.308,-8640.448,2587.668,50.49
108,"{'lr': 0.0014704058928473776, 'train_type': 'all_layers', 'weight_decay': 0.0014956089615701868}",0.20183679461479187,46,abc,0.326,0.202,0.369,-0.022,0.343,0.471,0.27649250626564026,95,abc,0.177,0.276,0.407,0.317,0.205,0.368
109,"{'lr': 0.02660262920542748, 'train_type': 'all_layers', 'weight_decay': 0.0006094744828625649}",0.9851951599121094,30,abc,-2.29,0.985,0.867,-554.078,186.497,13.565,11.531811714172363,3,abc,-33.323,11.532,3.021,-38914.672,11653.237,107.182
110,"{'lr': 0.031213164515800928, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0005561410607279951}",0.3551686704158783,21,abc,-0.186,0.355,0.495,-2338.65,786.084,27.867,0.29670313000679016,33,abc,0.117,0.297,0.437,-74.542,22.621,4.693
111,"{'lr': 0.0005560150641386672, 'train_type': 'only_predictor', 'weight_decay': 0.049799379489355824}",0.07414029538631439,303,abc,0.752,0.074,0.214,0.816,0.062,0.185,0.22980506718158722,12,abc,0.316,0.23,0.366,-8.051,2.71,1.587
112,"{'lr': 0.0025334176757929403, 'train_type': 'predictor_and_readout', 'weight_decay': 0.01913529403089744}",0.21718668937683105,42,abc,0.275,0.217,0.379,-0.423,0.478,0.555,0.2779153883457184,97,abc,0.173,0.278,0.411,0.294,0.212,0.373
113,"{'lr': 0.0004684986886505353, 'train_type': 'only_predictor', 'weight_decay': 0.0045018273262448965}",0.15895353257656097,74,abc,0.469,0.159,0.319,0.368,0.212,0.357,0.22383585572242737,12,abc,0.334,0.224,0.365,-6.342,2.199,1.419
114,"{'lr': 0.0001909105070545567, 'train_type': 'only_predictor', 'weight_decay': 0.0005890538515899543}",0.07704129815101624,176,abc,0.743,0.077,0.217,0.71,0.097,0.235,0.0748785063624382,1174,abc,0.777,0.075,0.215,0.931,0.021,0.107
115,"{'lr': 0.042278417076572435, 'train_type': 'only_predictor', 'weight_decay': 0.00046405450231371123}",0.34979817271232605,23,abc,-0.168,0.35,0.476,-8444.2,2837.449,52.953,0.8589658737182617,42,abc,-1.557,0.859,0.788,-328.86,98.776,9.856
116,"{'lr': 0.014482759435920414, 'train_type': 'only_predictor', 'weight_decay': 0.0005301526640251916}",0.22371843457221985,50,abc,0.253,0.224,0.385,-14.22,5.114,2.189,0.4519623816013336,23,abc,-0.345,0.452,0.54,-268.258,80.629,8.922
117,"{'lr': 0.022171485687523636, 'train_type': 'all_layers', 'weight_decay': 0.000451336026153336}",2.8518640995025635,10,abc,-8.524,2.852,1.33,-28555.825,9594.624,97.322,2.244215250015259,25,abc,-5.68,2.244,1.315,-1268.015,380.005,19.245
118,"{'lr': 0.0002837887386522976, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0030181395434665673}",0.07555899769067764,1016,abc,0.748,0.076,0.217,0.768,0.078,0.211,0.07765452563762665,1999,abc,0.769,0.078,0.212,0.934,0.02,0.103
119,"{'lr': 0.03704963600462615, 'train_type': 'all_layers', 'weight_decay': 0.00013424863052274925}",24.21731185913086,3,abc,-79.873,24.217,4.859,-4312.341,1449.212,37.903,20.96360969543457,81,abc,-61.395,20.964,3.497,-101.983,30.838,4.554
