,params,cv_0_loss,cv_0_best_epoch,cv_0_run_name,cv_0_r^2,cv_0_mse,cv_0_mae,cv_1_loss,cv_1_best_epoch,cv_1_run_name,cv_1_r^2,cv_1_mse,cv_1_mae
86,"{'lr': 0.018263992402243273, 'train_type': 'predictor_and_readout', 'weight_decay': 9.981634223210403e-05}",0.13245454678932825,70,abc,0.493,0.152,0.322,0.2765099008878072,42,abc,0.155,0.284,0.404
87,"{'lr': 0.00224879467550595, 'train_type': 'only_predictor', 'weight_decay': 0.0014711288399587756}",0.08302162711819012,3,abc,0.69,0.093,0.241,0.08675192296504974,8,abc,0.754,0.083,0.222
88,"{'lr': 0.019645929145119336, 'train_type': 'only_predictor', 'weight_decay': 0.08975458015893202}",0.1829758882522583,88,abc,0.296,0.211,0.368,0.2643502751986186,54,abc,0.149,0.286,0.422
89,"{'lr': 0.031225093977353693, 'train_type': 'predictor_and_readout', 'weight_decay': 6.887774889257447e-05}",0.10892457515001297,30,abc,0.604,0.118,0.274,0.2686689297358195,41,abc,0.169,0.279,0.409
90,"{'lr': 0.00016647209527337318, 'train_type': 'only_predictor', 'weight_decay': 0.0027361176855583754}",0.07732513050238292,46,abc,0.727,0.082,0.228,0.09500641375780106,33,abc,0.748,0.085,0.221
91,"{'lr': 0.005781969644303763, 'train_type': 'all_layers', 'weight_decay': 0.00033062119900175406}",0.08036103347937266,135,abc,0.707,0.088,0.239,0.09702250485618909,82,abc,0.73,0.091,0.22
92,"{'lr': 0.0017633729647803672, 'train_type': 'all_layers', 'weight_decay': 0.00016397262505529823}",0.07501370956500371,199,abc,0.757,0.073,0.21,0.09441294272740682,16,abc,0.747,0.085,0.213
93,"{'lr': 0.000126700778369585, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0002478079219177485}",0.07810674235224724,198,abc,0.719,0.084,0.23,0.09545064965883891,32,abc,0.746,0.085,0.224
94,"{'lr': 0.016183826681382556, 'train_type': 'only_predictor', 'weight_decay': 0.08355255924115636}",0.18608451386292776,89,abc,0.287,0.214,0.369,0.2767306963602702,29,abc,0.111,0.299,0.432
95,"{'lr': 0.003270815782743124, 'train_type': 'only_predictor', 'weight_decay': 0.03458395169246381}",0.07781677444775899,30,abc,0.727,0.082,0.228,0.0916196530063947,29,abc,0.75,0.084,0.222
96,"{'lr': 0.01788657912808984, 'train_type': 'predictor_and_readout', 'weight_decay': 0.04143938052990487}",0.18783356249332428,114,abc,0.276,0.217,0.378,0.26688478887081146,68,abc,0.164,0.281,0.42
97,"{'lr': 0.004426138100659172, 'train_type': 'all_layers', 'weight_decay': 0.016714645944805435}",0.09169253706932068,40,abc,0.695,0.091,0.24,0.09680066754420598,76,abc,0.743,0.086,0.217
98,"{'lr': 0.026167564151174293, 'train_type': 'all_layers', 'weight_decay': 0.0001525085367981354}",0.13998320450385413,81,abc,0.474,0.158,0.33,0.28801722327868146,38,abc,0.115,0.297,0.431
99,"{'lr': 0.0002696582157631315, 'train_type': 'predictor_and_readout', 'weight_decay': 0.006710006009968657}",0.07717728863159816,61,abc,0.729,0.081,0.227,0.09420986473560333,33,abc,0.752,0.083,0.22
100,"{'lr': 0.011671462713120612, 'train_type': 'only_predictor', 'weight_decay': 0.025800119461062736}",1.5647177696228027,199,abc,-3.993,1.495,1.029,0.5378813445568085,114,abc,-0.712,0.575,0.618
101,"{'lr': 0.00013250256210707052, 'train_type': 'all_layers', 'weight_decay': 0.0005827274089737804}",0.08222289010882378,196,abc,0.745,0.076,0.217,0.14357348283131918,194,abc,0.608,0.132,0.268
102,"{'lr': 8.724779312053503e-05, 'train_type': 'predictor_and_readout', 'weight_decay': 0.05931532194363286}",0.08329639583826065,190,abc,0.735,0.079,0.219,0.15185774862766266,188,abc,0.587,0.139,0.273
103,"{'lr': 4.839458598767194e-05, 'train_type': 'all_layers', 'weight_decay': 0.0003686887603693225}",0.08595101411143939,199,abc,0.728,0.081,0.223,0.17037072281042734,167,abc,0.539,0.155,0.289
104,"{'lr': 0.00017305283337342432, 'train_type': 'only_predictor', 'weight_decay': 0.00031519537459104275}",0.08416211853424709,195,abc,0.734,0.08,0.221,0.16368926068147024,72,abc,0.556,0.149,0.289
105,"{'lr': 0.004934337346419863, 'train_type': 'all_layers', 'weight_decay': 0.000170231940693442}",0.33637913564840954,176,abc,-0.175,0.352,0.504,0.30266864597797394,52,abc,0.042,0.322,0.446
106,"{'lr': 0.014023884364838817, 'train_type': 'only_predictor', 'weight_decay': 0.0010763021574448643}",0.20686306556065878,85,abc,0.205,0.238,0.396,0.25230058034261066,71,abc,0.196,0.27,0.411
107,"{'lr': 0.004107837043573283, 'train_type': 'only_predictor', 'weight_decay': 0.008168446921633321}",0.20565973222255707,68,abc,0.244,0.226,0.39,0.28966371218363446,46,abc,0.107,0.3,0.428
108,"{'lr': 0.03880870666928413, 'train_type': 'predictor_and_readout', 'weight_decay': 0.000662764046272382}",4.636016368865967,14,abc,-15.131,4.83,2.124,0.28020361562569934,66,abc,0.117,0.297,0.434
109,"{'lr': 0.00018413600397807484, 'train_type': 'all_layers', 'weight_decay': 0.003072243061380027}",0.08922992646694183,197,abc,0.717,0.085,0.227,0.15363086263338724,182,abc,0.588,0.138,0.271
110,"{'lr': 0.005883306805278369, 'train_type': 'only_predictor', 'weight_decay': 0.00019648618538088203}",0.7051219542821249,199,abc,-1.278,0.682,0.692,0.36044402917226154,114,abc,-0.151,0.387,0.514
111,"{'lr': 0.0005755829364057221, 'train_type': 'all_layers', 'weight_decay': 4.934116920453902e-05}",0.09945772836605708,184,abc,0.663,0.101,0.256,0.15363887945810953,80,abc,0.596,0.136,0.267
112,"{'lr': 0.00030835842817797794, 'train_type': 'only_predictor', 'weight_decay': 0.0004406848961039606}",0.08125133812427521,57,abc,0.743,0.077,0.22,0.1651636560757955,76,abc,0.559,0.148,0.288
113,"{'lr': 0.0001729280132753375, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0015364096411685597}",0.07948566973209381,81,abc,0.761,0.071,0.21,0.17294119795163473,190,abc,0.537,0.156,0.293
114,"{'lr': 0.0006040550286780144, 'train_type': 'predictor_and_readout', 'weight_decay': 8.962502666824167e-05}",0.09159486989180247,66,abc,0.709,0.087,0.238,0.19160942236582437,65,abc,0.474,0.177,0.317
115,"{'lr': 0.0002519400226056229, 'train_type': 'only_predictor', 'weight_decay': 0.028951141495232417}",0.08091381688912709,83,abc,0.752,0.074,0.214,0.17249241471290588,199,abc,0.544,0.153,0.292
116,"{'lr': 4.795888063898327e-05, 'train_type': 'only_predictor', 'weight_decay': 0.07688087242790767}",0.08908136188983917,197,abc,0.714,0.086,0.23,0.16901693741480509,180,abc,0.541,0.154,0.289
117,"{'lr': 6.807221297517857e-05, 'train_type': 'all_layers', 'weight_decay': 0.15699386818373065}",0.08702824637293816,194,abc,0.722,0.083,0.227,0.16706637044747671,198,abc,0.546,0.152,0.288
118,"{'lr': 0.0003798644399092496, 'train_type': 'only_predictor', 'weight_decay': 0.11624412245058242}",0.08536755541960399,199,abc,0.723,0.083,0.229,0.1599256545305252,78,abc,0.575,0.143,0.282
119,"{'lr': 0.01676395711501158, 'train_type': 'only_predictor', 'weight_decay': 7.940460258163041e-05}",1.0170603195826213,131,abc,-2.243,0.971,0.785,1.886332670847575,96,abc,-4.182,1.741,1.077
